c_n_sourceID,c_type,c_n_countries_norm,b_n_jurisdiction_description_norm,count
Panama Papers,individual,Albania,Seychelles,1
Panama Papers,individual,Botswana,Panama,1
Panama Papers,individual,Bosnia and Herzegovina,Samoa,1
Panama Papers,individual,Austria,Cyprus,1
Panama Papers,individual,Austria,British Anguilla,1
Panama Papers,individual,Australia,Nevada,1
Panama Papers,individual,Australia,Malta,1
Panama Papers,individual,Aruba,Samoa,1
Panama Papers,individual,Armenia,Bahamas,1
Panama Papers,individual,Austria,Hong Kong,1
Panama Papers,individual,Antigua and Barbuda,Bahamas,1
Panama Papers,individual,Angola,Samoa,1
Panama Papers,individual,Angola,Panama,1
Panama Papers,individual,Andorra,Samoa,1
Panama Papers,individual,Algeria,Seychelles,1
Panama Papers,individual,Algeria,Panama,1
Panama Papers,individual,Algeria,British Anguilla,1
Panama Papers,individual,Anguilla,British Virgin Islands,1
Panama Papers,individual,Bosnia and Herzegovina,Seychelles,1
Panama Papers,individual,Azerbaijan,Hong Kong,1
Panama Papers,individual,Bahrain,Malta,1
Panama Papers,individual,Bosnia and Herzegovina,British Virgin Islands,1
Panama Papers,individual,Bolivia,Nevada,1
Panama Papers,individual,Bolivia,Bahamas,1
Panama Papers,individual,Benin,Seychelles,1
Panama Papers,individual,Benin,Panama,1
Panama Papers,individual,Belgium,Samoa,1
Panama Papers,individual,Bahrain,British Anguilla,1
Panama Papers,individual,Belgium,Niue,1
Panama Papers,individual,Belarus,Samoa,1
Panama Papers,individual,Belarus,Panama,1
Panama Papers,individual,Belarus,British Anguilla,1
Panama Papers,individual,Barbados,Samoa,1
Panama Papers,individual,Barbados,Bahamas,1
Panama Papers,individual,Bahrain,Seychelles,1
Panama Papers,individual,Belgium,Malta,1
Offshore Leaks,organization,Germany,Cayman Islands,1
Panama Papers,individual,Viet Nam,Samoa,1
Panama Papers,individual,Zimbabwe,Panama,1
Paradise Papers - Appleby,individual,Netherlands,Jersey,1
Paradise Papers - Appleby,individual,Mongolia,Cayman Islands,1
Paradise Papers - Appleby,individual,Mongolia,British Virgin Islands,1
Paradise Papers - Appleby,individual,Mongolia,Bermuda,1
Paradise Papers - Appleby,individual,Moldova,British Virgin Islands,1
Paradise Papers - Appleby,individual,Mexico,Seychelles,1
Paradise Papers - Appleby,individual,Netherlands,Mauritius,1
Paradise Papers - Appleby,individual,Madagascar,Seychelles,1
